Date,cohort_number,installs
1/1/2017,3001,62078
1/2/2017,3002,62601
1/3/2017,3003,56958
1/4/2017,3004,54959
1/5/2017,3005,55273
1/6/2017,3006,59910
1/7/2017,3007,59922
1/8/2017,3008,55167
1/9/2017,3009,46065
1/10/2017,3010,45813
1/11/2017,3011,49354
1/12/2017,3012,48296
1/13/2017,3013,66140
1/14/2017,3014,65366
1/15/2017,3015,61270
1/16/2017,3016,47454
1/17/2017,3017,41215
1/18/2017,3018,43481
1/19/2017,3019,42484
1/20/2017,3020,47030
1/21/2017,3021,56975
1/22/2017,3022,53179
1/23/2017,3023,41269
1/24/2017,3024,39673
1/25/2017,3025,41162
1/26/2017,3026,41833
1/27/2017,3027,49526
1/28/2017,3028,57668
1/29/2017,3029,57009
1/30/2017,3030,42966
1/31/2017,3031,40302